,Unnamed: 0,Sentence #,Word,POS,Tag
0,0,Sentence: 1,МОСКВА,PROPN,O
1,1,Sentence: 1,",",PUNCT,O
2,2,Sentence: 1,8,ADJ,O
3,3,Sentence: 1,июня,NOUN,O
4,4,Sentence: 1,.,PUNCT,O
5,5,Sentence: 2,ТЕГИ,PUNCT,O
6,6,Sentence: 2,РоссияПандемия,PROPN,O
7,7,Sentence: 2,COVID-19,PUNCT,O
8,8,Sentence: 2,7,PUNCT,O
9,9,Sentence: 3,МИНУТ,PROPN,O
10,10,Sentence: 3,НАЗАД,ADP,O
11,11,Sentence: 3,На,ADJ,O
12,12,Sentence: 3,Эйфелевой,NOUN,O
13,13,Sentence: 3,башне,PUNCT,O
14,14,Sentence: 3,установили,NOUN,O
15,15,Sentence: 3,гигантский,ADJ,O
16,16,Sentence: 3,флаг,PUNCT,O
17,17,Sentence: 3,По,PUNCT,O
18,18,Sentence: 3,версии,ADV,O
19,19,Sentence: 3,издания,PUNCT,O
20,20,Sentence: 3,Voltage,ADP,O
21,21,Sentence: 3,",",DET,O
22,22,Sentence: 3,он,NOUN,O
23,23,Sentence: 3,размещен,VERB,O
24,24,Sentence: 3,для,NOUN,O
25,25,Sentence: 3,тестирования,ADJ,O
26,26,Sentence: 3,видеосъемки,NOUN,O
27,27,Sentence: 3,с,PUNCT,O
28,28,Sentence: 3,беспилотников,NOUN,O
29,29,Sentence: 3,в,ADP,O
30,30,Sentence: 3,рамках,ADJ,O
31,31,Sentence: 3,подготовки,NOUN,O
32,32,Sentence: 3,к,ADV,O
33,33,Sentence: 3,Олимпийским,VERB,O
34,34,Sentence: 3,играм,PUNCT,O
35,35,Sentence: 3,в,VERB,O
36,36,Sentence: 3,Париже,ADP,O
37,37,Sentence: 3,/,NOUN,O
38,38,Sentence: 3,ТАСС,NOUN,O
39,39,Sentence: 3,/,NOUN,O
40,40,Sentence: 3,.,NOUN,O
41,41,Sentence: 3,Привитым,PROPN,O
42,42,Sentence: 3,против,PROPN,O
43,43,Sentence: 3,коронавирусной,PROPN,O
44,44,Sentence: 3,инфекции,PUNCT,O
45,45,Sentence: 4,"""",NOUN,O
46,46,Sentence: 4,Спутником,DET,O
47,47,Sentence: 4,V,NOUN,O
48,48,Sentence: 4,"""",PUNCT,O
49,49,Sentence: 4,",",NOUN,O
50,50,Sentence: 4,возможно,ADJ,O
51,51,Sentence: 4,",",PUNCT,O
52,52,Sentence: 4,через,PUNCT,O
53,53,Sentence: 4,какое-то,PUNCT,O
54,54,Sentence: 4,время,PROPN,O
55,55,Sentence: 4,понадобится,PUNCT,O
56,56,Sentence: 4,ревакцинация,PUNCT,O
57,57,Sentence: 4,другим,PUNCT,O
58,58,Sentence: 4,препаратом,PROPN,O
59,59,Sentence: 4,",",PUNCT,O
60,60,Sentence: 4,исследования,PUNCT,O
61,61,Sentence: 4,в,PUNCT,O
62,62,Sentence: 4,данной,NOUN,O
63,63,Sentence: 4,области,PROPN,O
64,64,Sentence: 4,еще,PUNCT,O
65,65,Sentence: 4,ведутся,PUNCT,O
66,66,Sentence: 5,",",PRON,O
67,67,Sentence: 5,заявил,ADJ,O
68,68,Sentence: 5,во,ADP,O
69,69,Sentence: 5,вторник,ADJ,O
70,70,Sentence: 5,заместитель,NOUN,O
71,71,Sentence: 5,министра,PUNCT,O
72,72,Sentence: 5,здравоохранения,NOUN,O
73,73,Sentence: 5,РФ,ADJ,O
74,74,Sentence: 5,Олег,PUNCT,O
75,75,Sentence: 5,Гриднев,PUNCT,O
76,76,Sentence: 5,.,PUNCT,O
77,77,Sentence: 5,НА,PROPN,O
78,78,Sentence: 5,ЭТУ,PUNCT,O
79,79,Sentence: 5,ТЕМУ,PUNCT,O
80,80,Sentence: 5,"""",PUNCT,O
81,81,Sentence: 5,Спутник,PROPN,O
82,82,Sentence: 5,V,PUNCT,O
83,83,Sentence: 5,"""",PUNCT,O
84,84,Sentence: 5,",",PUNCT,O
85,85,Sentence: 5,"""",NOUN,O
86,86,Sentence: 5,Эпиваккорона,PROPN,O
87,87,Sentence: 5,"""",PUNCT,O
88,88,Sentence: 5,",",PUNCT,O
89,89,Sentence: 6,"""",PUNCT,O
90,90,Sentence: 6,Ковивак,ADJ,O
91,91,Sentence: 6,"""",PUNCT,O
92,92,Sentence: 6,",",SCONJ,O
93,93,Sentence: 6,"""",ADP,O
94,94,Sentence: 6,Спутник,PRON,O
95,95,Sentence: 6,Лайт,VERB,O
96,96,Sentence: 6,"""",ADJ,O
97,97,Sentence: 6,.,NOUN,O
98,98,Sentence: 6,Что,PUNCT,O
99,99,Sentence: 6,известно,ADP,O
100,100,Sentence: 6,о,PUNCT,O
101,101,Sentence: 6,российских,NOUN,O
102,102,Sentence: 6,вакцинах,ADJ,O
103,103,Sentence: 6,"""",PUNCT,O
104,104,Sentence: 6,Спутник,PUNCT,O
105,105,Sentence: 6,V,PUNCT,O
106,106,Sentence: 6,"""",PRON,O
